Timestamp,Trip_ID,Speed (km/h),RPM,Gear,Throttle Position (%),Engine Load (%),Fuel Level (%),Fuel Consumption (L/100km),Intake Air Temp (°C),Coolant Temp (°C),Fuel Pressure (kPa),Barometric Pressure (kPa),Ambient Air Temp (°C),Oxygen Sensor Voltage (V),Vehicle Distance (km),Engine Fault Codes
10/1/2024 8:00,1,1.375990612,171.9988265,1,6.141848337,5.740552867,100,4,33.7736488,86.04589147,337.0505532,97.53428109,31.01812549,0.845842249,0.019110981,0
10/1/2024 8:00,1,2.751981225,343.9976531,1,8.059275914,19.95792428,99.99357097,4,35.2346589,86.99089186,342.4039027,100.7802946,25.97040699,0.762038843,0.057332942,0
10/1/2024 8:01,1,4.127971837,515.9964796,1,13.91898278,18.08372683,99.98714194,4,34.96381954,91.42501017,354.4450003,101.6346017,31.31846457,0.682638754,0.114665884,0
10/1/2024 8:02,1,5.50396245,687.9953062,1,16.35019706,24.23422871,99.98071291,4,36.78482113,92.83358171,335.1365808,99.65322016,28.35472586,0.860667878,0.191109807,0
10/1/2024 8:03,1,6.879953062,429.9970664,2,12.18199063,16.70441846,99.97428388,4,35.00169826,88.03222962,363.021145,98.72656529,26.51065055,0.673261233,0.286664711,0
10/1/2024 8:04,1,8.255943674,515.9964796,2,12.23353166,15.8831656,99.96785485,4,35.89786018,88.74974671,341.3481924,102.1545306,29.10545955,0.849493676,0.401330595,0
10/1/2024 8:05,1,9.631934287,601.9958929,2,13.64131978,23.01283,99.96142582,4,36.19689557,92.0888363,318.6443125,101.5236022,31.31831959,0.774151462,0.53510746,0
10/1/2024 8:05,1,11.0079249,687.9953062,2,15.18236035,29.39452887,99.95499679,4,35.87161144,88.36321028,344.2308626,101.4087977,24.40826009,0.630273631,0.687995306,0
10/1/2024 8:06,1,12.38391551,773.9947195,2,20.91507991,26.03551369,99.94856775,4,34.9410429,91.78121143,310.4073593,100.1341499,22.99942067,0.917434717,0.859994133,0
10/1/2024 8:07,1,13.75990612,859.9941327,2,16.95255224,20.95227554,99.94213872,4,38.14169686,94.45636443,343.2563871,99.53806016,30.27835981,0.907966979,1.05110394,0
10/1/2024 8:08,1,15.13589674,945.993546,2,21.69420611,38.38891237,99.93570969,4,38.48591442,95.57756239,360.6520996,103.6179054,21.24046261,0.90241508,1.261324728,0
10/1/2024 8:09,1,16.51188735,1031.992959,2,21.11875139,37.35298499,99.92928066,4,38.27667631,95.4219452,369.0418376,100.1943995,28.11199119,0.633371708,1.490656497,0
10/1/2024 8:10,1,17.88787796,1117.992373,2,26.75944765,43.32167899,99.92285163,4,38.91455803,98.49044391,377.0386633,96.39562937,23.63298734,1.051418758,1.739099246,0
10/1/2024 8:10,1,19.26386857,1203.991786,2,24.59154494,38.31040244,99.9164226,4,39.18237144,99.09405674,365.5062432,96.98642016,21.36859352,0.963907871,2.006652976,0
10/1/2024 8:11,1,20.63985919,1289.991199,2,24.74884108,34.04248567,99.90999357,4,40.22990282,100.2942198,359.2067514,99.63594732,27.88091846,0.715133208,2.293317687,0
10/1/2024 8:12,1,22.0158498,917.3270749,3,22.58251224,25.93310082,99.90356454,4,37.46311286,91.74357557,346.6568465,101.6040505,26.53267565,0.742629354,2.599093379,0
10/1/2024 8:13,1,23.39184041,974.6600171,3,15.05463632,21.24121812,99.89713551,4,37.70480201,92.23135988,350.7994597,100.5304278,20.03159698,0.79644839,2.923980051,0
10/1/2024 8:14,1,24.76783102,1031.992959,3,19.79375933,28.57288949,99.89070648,4,39.43444397,95.60237414,305.7613362,99.99618732,22.05274456,0.874719468,3.267977704,0
10/1/2024 8:15,1,26.14382164,1089.325901,3,23.96711247,38.33145887,99.88427745,4,39.03373157,99.58310146,351.2781691,99.89894623,22.30277747,0.834046387,3.631086338,0
10/1/2024 8:15,1,27.51981225,1146.658844,3,25.52973145,36.04207038,99.87784842,4,38.58219316,95.09625282,344.6754086,102.6105908,28.09998619,0.894734294,4.013305953,0
10/1/2024 8:16,1,28.89580286,1203.991786,3,29.67407043,41.58904891,99.87141939,4,38.34955464,96.24262421,306.4141255,97.17394751,29.73863207,0.915916755,4.414636548,0
10/1/2024 8:17,1,30.27179347,1261.324728,3,25.76961101,32.66557915,99.86499036,4,38.69806939,98.99274339,308.8622072,96.79954884,26.51027845,0.649374952,4.835078124,0
10/1/2024 8:18,1,31.64778408,1318.65767,3,24.48137184,33.78682485,99.85856133,4,39.91388322,100.1251556,351.3640716,103.6766364,21.03831789,0.731927076,5.274630681,0
10/1/2024 8:19,1,33.0237747,1375.990612,3,29.23310675,31.50599271,99.8521323,4,39.67455329,96.40887188,278.1459752,98.00455918,28.2917565,0.868556754,5.733294218,0
10/1/2024 8:20,1,34.39976531,1433.323555,3,26.95961818,31.27732403,99.84570326,4,39.3501921,100.2238199,305.6605995,101.2441538,22.61741296,0.762545097,6.211068736,0
